id,speaker,text,visualEventKey,choiceKey,nextId
ch02_001,내레이션,"발소리가 숲의 정적을 갈랐다.",ch02_001_visual,,ch02_002
ch02_002,에우리디케,"저 사람... 정말 계속 따라오고 있는 건가.",ch02_002_visual,,ch02_003
ch02_003,내레이션,"그녀는 뒤를 돌아보지 않았다. 시선은 앞, 덤불 사이로 희미하게 보이는 길에 고정되어 있었다. 옷자락이 나뭇가지에 걸려 찢어지는 소리가 들렸다.",ch02_003_visual,,ch02_004
ch02_004,에우리디케,"가야 해. 더 빨리...!",ch02_004_visual,,ch02_005
ch02_005,내레이션,"가시덩굴이 종아리를 파고들었다. 에우리디케는 비명을 삼키고 더 빠르게 뛰었다. 숲길이 끝나고, 축축한 이끼 낀 바위가 나타났다.",ch02_005_visual,,ch02_006
ch02_006,내레이션,"그 위를 오르려던 순간, 발밑에서 무언가 소름 끼치는 소리가 났다.",ch02_006_visual,,ch02_007
ch02_007,에우리디케,"으...!",ch02_007_visual,,ch02_008
ch02_008,내레이션,"온몸의 피가 차갑게 식는 듯한 감각. 시선을 내리자, 고요히 움직이던 검은 형체가 순식간에 사라졌다.",ch02_008_visual,,ch02_009
ch02_009,에우리디케,"뱀...?",ch02_009_visual,,ch02_010
ch02_010,내레이션,"다리에 이글거리는 통증이 번졌다. 그녀는 바위에 기대어 천천히 주저앉았다. 숨을 들이쉴 때마다, 등 뒤에서 따라오던 발소리가 점점 멀어지는 것 같았다.",ch02_010_visual,,ch02_011
ch02_011,에우리디케,"괜찮을 거야... 그냥... 잠시 쉬면...",ch02_011_visual,,ch02_012
ch02_012,내레이션,"하지만 목소리가 제대로 나오지 않았다. 시야가 흐려지기 시작했다. 멀리서 리라 소리가 들려오는 듯했다.",ch02_012_visual,,ch02_013
ch02_013,오르페우스,"에우리디케! 에우리디케! 어디야?",ch02_013_visual,,ch02_014
ch02_014,내레이션,"리라를 멈춘 채 필사적으로 소리치며 달려오던 오르페우스. 그는 비틀거리며 그녀의 곁에 무릎을 꿇었다.",ch02_014_visual,,ch02_015
ch02_015,오르페우스,"에우리디케... 괜찮아? 무슨 일이야? 왜 여기 있어?",ch02_015_visual,,ch02_016
ch02_016,내레이션,"그녀는 대답 대신 희미하게 웃었다. 그 웃음에는 평소의 장난기 대신 깊은 피로가 서려 있었다.",ch02_016_visual,,ch02_017
ch02_017,오르페우스,"입술이... 왜 이렇게 차가워? 이봐, 말을 해봐. 제발.",ch02_017_visual,,ch02_018
ch02_018,내레이션,"그가 그녀를 일으키려 했지만, 몸은 말을 듣지 않았다. 이미 힘없이 축 늘어져 있었다. 붉은 흔적이 녹색 이끼 위로 번져나갔다.",ch02_018_visual,,ch02_019
ch02_019,오르페우스,"아니... 아니야. 눈을 떠봐, 에우리디케. 이딴 게 아니야. 그치?",ch02_019_visual,,ch02_020
ch02_020,내레이션,"그는 그녀의 손을 꽉 붙잡았다. 하지만 그 손은 조금씩 싸늘하게 식어가고 있었다. 오르페우스는 아무것도 할 수 없었다.",ch02_020_visual,,ch02_021
ch02_021,오르페우스,"에우리디케...!",ch02_021_visual,,ch02_022
ch02_022,내레이션,"그의 절규가 숲을 흔들었다. 하지만 대답해 줄 사람은 없었다. 침묵 속에서, 그녀의 마지막 숨결이 바람에 흩어졌다.",ch02_022_visual,,ch02_023
ch02_023,내레이션,"그 순간, 멀리서 한 남자가 나타났다.",ch02_023_visual,,ch02_024
ch02_024,아리스타이오스,"나는 그냥... 사랑에 빠져서... 널 데려가려던 것뿐인데...",ch02_024_visual,,ch02_025
ch02_025,내레이션,"오르페우스는 그를 보았다. 분노로 번들거리는 눈으로.",ch02_025_visual,,ch02_026
ch02_026,오르페우스,"네가... 네가 이런 짓을 한 거냐.",ch02_026_visual,,ch02_027
ch02_027,아리스타이오스,"아니... 나는 그냥 따라왔을 뿐이야. 뱀... 뱀이 있었고...",ch02_027_visual,,ch02_028
ch02_028,오르페우스,"닥쳐.",ch02_028_visual,,ch02_029
ch02_029,내레이션,"그는 아리스타이오스에게 달려들려 했지만, 남자는 이미 뒷걸음질치며 숲속으로 멀어지고 있었다. 오르페우스는 다시 에우리디케에게로 돌아왔다.",ch02_029_visual,,ch02_030
ch02_030,오르페우스,"아아... 에우리디케...",ch02_030_visual,,ch02_031
ch02_031,내레이션,"그의 슬픔이 깊은 강물이 되어 숲 전체를 잠재웠다. 새들은 노래를 멈추고, 나뭇잎들은 떨었으며, 바람은 그의 비탄조차 전하지 못한 채 멈춰 섰다.",ch02_031_visual,,ch03_001
